Generation	ID	Fitness	Status	Order	Int_Order	Survival_Time	Response_Time	Capture_Time	Luminance_Difference	Contrast_Difference	Colour_Difference	GabRat_Edge_Disruption	BgLocal_Luminance	BgLocal_Contrast	BgLocal_A	BgLocal_B	Target_Luminance	Target_Contrast	Target_A	Target_B	Target_Contrast2	BgLocal_Contrast2	Contrast2_Difference	Image_ID	X_Coordinate	Y_Coordinate	Rotation	Flip	Crop_X	Crop_Y	Parent1	Parent2	Sex	ptn_dim_xcp	ptn_dim_ycp	ptn_dim_wdt	ptn_dim_asr	ptn_dim_agl	ptn_grd_cvr	ptn_grd_sig	ptn_grd_hgt	ptn_grd_agl	eem_int_lvl	eem_int_rto	eem_sig_lvl	eem_sig_rto	eem_exp_lvl	eem_exp_rto	ptn_bil_ctr	ptn_bil_sft	ptn_bil_frq	col_mac_lmv	col_mac_rgv	col_mac_byv	col_top_lmv	col_top_rgv	col_top_byv	col_bot_lmv	col_bot_rgv	col_bot_byv	col_grd_sig	col_grd_hgt	spk_one_lvl	spk_one_rto	spk_one_sig	spk_one_ycp	spk_two_lvl	spk_two_rto	spk_two_sig	spk_two_ycp	TmeanL	TmeanA	TmeanB	TcontrastL	TcontrastA	TcontrastB	LmeanL	LmeanA	LmeanB	LcontrastL	LcontrastA	LcontrastB	BmeanL	BmeanA	BmeanB	BcontrastL	BcontrastA	BcontrastB	gabRatL	gabRatA	gabRatB
0	Gen0_Mut0_ID10	1670	Survived	1	1	1670	916	1670	10.694	1.8458	15.7408	0.4169	51.139	21.6462	5.3601	27.184	61.833	23.492	1.4436	11.9382	0.379926576	0.423281644	0.043355068	10.jpg	308.8243	730.13	0	horizontal	0	0	-	-	-	0.24	0.44	0.96	0.32	0.36	0.52	0.48	0.04	0.36	0.8	0.44	0.64	0.84	0.32	0.44	0.8	0.64	0.88	0.68	0.6	0.08	0.52	0.44	0.48	0.96	0.4	0.2	0.04	0.68	0.52	0.44	0.28	0.84	0.32	0.16	0.32	0.92	61.83346329	1.431136946	11.93956415	23.49103723	7.349725914	13.18785095	51.13903929	5.360098974	27.18400034	21.64621898	4.778378791	11.27160237	48.01387161	3.540766621	21.70965846	20.10043157	6.497136211	6.928559524	0.423791312	0.368451483	0.251564904
0	Gen0_Mut0_ID9	3272	Survived	2	2	3272	1877	3272	7.2479	0.4333	31.9909	0.2078	39.8101	16.191	-6.3913	23.0354	47.058	15.7577	-36.3877	34.1545	0.334856985	0.406705836	0.071848851	0.jpg	1085.5185	273.4453	0	none	0	0	-	-	-	0.76	0.12	0.08	0.2	0.96	0.4	0.24	0.76	0.72	0.52	0.68	0.8	0.96	0.08	0.84	0.64	0.12	0.12	0.28	0.36	0.04	0.24	0.24	0.52	0.6	0.08	0.96	0.2	0.04	0.36	0.52	0.72	0.8	0.2	0.32	0.8	0.56	47.06019404	-36.38926104	34.15494089	15.76202357	15.80088189	32.82282414	39.8100856	-6.391314021	23.03536357	16.19103875	15.09803016	9.287805193	43.34041119	-4.644617216	22.85887752	16.88883479	13.35550631	7.474366348	0.229355152	0.109622197	0.13770433
0	Gen0_Mut0_ID5	553	Killed	3	3	553	553	969	38.9397	13.6804	30.1019	0.0764	56.0266	15.9871	7.4512	22.3398	17.0869	2.3067	37.3843	25.5231	0.134998156	0.285348388	0.150350232	23.jpg	546.5011	741.8041	0	horizontal	0	0	-	-	-	0.68	0.52	0.64	0.76	0.04	0.36	0.64	0.08	0.24	0.72	0.08	0.76	0.16	0.68	0.08	0.96	0.76	0.96	0.16	0.88	0.8	0.12	0.96	0.76	0.44	0.64	0.8	0.68	0.88	0.28	0.04	0.32	0.48	0.76	0.8	0.28	0.64	17.07628379	37.38246429	25.49653332	2.306289789	2.512097498	2.95814116	56.02657962	7.451220158	22.33984305	15.98711149	3.173758869	4.486976284	55.96497187	6.021480445	21.70063642	16.14216566	7.610367841	6.995864809	0.097540388	0.091580391	0.343922233
0	Gen0_Mut0_ID7	970	Killed	4	4	970	970	1531	28.2233	1.8668	19.7712	0.2435	46.832	17.215	2.759	19.1968	75.0553	19.0818	15.138	34.6131	0.254236543	0.367590536	0.113353993	1.jpg	957.7592	669.2642	0	none	0	0	-	-	-	0.36	0.6	0.76	0.04	0.88	0.8	0.92	0.6	0.12	0.24	0.16	0.96	0.36	0.56	0.76	0.4	0.6	0.72	0.88	0.64	0.68	0.16	0.28	0.8	0.4	0.92	0.48	0.24	0.24	0.84	0.48	0.88	0.88	0.84	0.56	0.6	0.88	75.05936883	15.13974079	34.6147	19.08387047	16.6400629	11.25562235	46.83200948	2.758949214	19.19673708	17.21492374	4.513982377	5.467217739	45.43679019	1.110269202	20.49014634	16.54552309	9.542984273	6.38525163	0.2478102	0.318738378	0.210945955
0	Gen0_Mut0_ID14	954	Killed	5	5	954	954	1452	23.8687	6.5996	37.7173	0.1599	46.9412	19.0082	5.8157	21.0085	70.8099	12.4086	-31.57	16.0179	0.175238208	0.404936389	0.22969818	9.jpg	1118.6431	663.9182	0	horizontal	0	0	-	-	-	0.28	0.28	0.2	0.64	0.76	0.24	0.88	0.24	0.44	0.16	0.28	0.08	0.24	0.4	0.16	0.72	0.08	0.6	0.56	0.12	0.76	0.64	0.36	0.16	0.92	0.12	0.24	0.88	0.6	0.24	0.2	0.36	0.08	0.64	0.6	0.2	0.68	70.81077323	-31.56124228	16.01786709	12.41867842	8.307049665	19.05921155	46.94121984	5.815686281	21.00861519	19.00818299	7.602405549	5.024136986	46.08664077	1.73956181	21.19828939	17.84184986	8.589130894	5.412138078	0.184453766	0.087099324	0.143753311
0	Gen0_Mut0_ID2	1467	Killed	6	6	1467	795	1467	37.4856	12.0126	15.08	0.1032	50.3425	16.3973	-0.3569	20.9909	87.8281	4.3847	5.864	34.728	0.049923658	0.325714853	0.275791196	6.jpg	207.179	417.2555	0	none	0	0	-	-	-	0.64	0.88	0.92	0.12	0.2	0.12	0.96	0.36	0.4	0.76	0.96	0.4	0.68	0.52	0.28	0.04	0.4	0.48	0.96	0.4	0.84	0.92	0.76	0.68	0.56	0.72	0.08	0.56	0.96	0.32	0.72	0.04	0.24	0.04	0.92	0.64	0.4	87.82726054	5.869970338	34.72593821	4.387910731	6.573895345	7.170025943	50.34250754	-0.356935152	20.99091493	16.39733467	12.09430496	6.03333269	52.84757833	3.259792553	21.62710724	19.45864399	10.59643629	6.759890096	0.124031845	0.308948857	0.131339363
0	Gen0_Mut0_ID15	2593	Survived	7	7	2593	1884	2593	3.0259	7.0517	16.1293	0.2875	48.5815	16.1527	8.5955	24.1839	45.5556	23.2044	19.0269	11.8818	0.509364381	0.332486646	0.176877735	12.jpg	1178.214	458.2836	0	horizontal	0	0	-	-	-	0.84	0.48	0.44	0.24	0.6	0.56	0.32	0.68	0.84	0.32	0.8	0.12	0.44	0.12	0.4	0.68	0.72	0.16	0.24	0.68	0.2	0.84	0.56	0.44	0.16	0.96	0.04	0.84	0.76	0.04	0.96	0.24	0.6	0.44	0.76	0.72	0.36	45.54622269	19.05726914	11.86714479	23.20873267	3.571131794	6.442578444	48.58146543	8.595418927	24.18394114	16.15269835	5.079806363	8.005259771	51.22824944	6.383807533	21.13284667	19.68470703	6.900366267	7.211088387	0.311566363	0.113436302	0.217089533
0	Gen0_Mut0_ID13	524	Killed	8	8	524	524	1042	2.0632	8.2627	22.5499	0.2627	49.1356	14.4972	0.6354	24.1607	51.1988	22.7599	-19.856	14.7478	0.444539716	0.295044733	0.149494982	21.jpg	472.5075	557.4283	0	none	0	0	-	-	-	0.6	0.32	0.28	0.48	0.16	0.44	0.72	0.48	0.68	0.88	0.24	0.52	0.12	0.36	0.88	0.76	0.04	0.24	0.72	0.2	0.52	0.76	0.12	0.36	0.28	0.48	0.12	0.4	0.32	0.4	0.92	0.4	0.2	0.72	0.44	0.36	0.52	51.19694027	-19.8466322	14.74627922	22.7655689	13.89182965	13.8007752	49.13560627	0.635381565	24.16073283	14.49722075	14.73764401	8.072117276	50.76595649	3.152535464	21.82416433	16.6199153	11.05425897	6.626989596	0.263539664	0.169177025	0.179779803
0	Gen0_Mut0_ID3	6090	Survived	9	9	6090	5328	6090	25.4241	2.1013	18.2525	0.1378	38.8608	16.1069	-1.4393	21.607	13.4367	14.0056	-18.98	16.5593	1.042339265	0.414476799	0.627862466	3.jpg	1066.6623	77.0995	0	none	0	0	-	-	-	0.12	0.72	0.56	0.56	0.32	0.96	0.16	0.4	0.04	0.48	0.12	0.48	0.04	0.64	0.8	0.2	0.32	0.52	0.08	0.08	0.72	0.88	0.6	0.96	0.84	0.32	0.84	0.16	0.72	0.12	0.88	0.92	0.44	0.56	0.68	0.08	0.16	13.42995877	-18.9696553	16.53949471	14.00609724	3.439754066	9.263902329	38.8607624	-1.439318437	21.60695116	16.10692331	9.903684557	6.954981669	44.55711758	0.429973093	20.39984052	17.12896043	11.63491772	6.286312114	0.14144288	0.102846942	0.20822899
0	Gen0_Mut0_ID12	2711	Survived	10	10	2711	2711	3242	8.4221	5.5712	42.9598	0.3372	54.3126	14.972	9.4923	22.3532	62.7347	9.4008	-22.5875	50.9265	0.149850083	0.275663474	0.125813391	18.jpg	536.7068	630.9638	0	none	0	0	-	-	-	0.88	0.16	0.84	0.72	0.68	0.08	0.76	0.44	0.64	0.6	0.6	0.2	0.76	0.72	0.92	0.92	0.2	0.04	0.64	0.84	0.6	0.68	0.32	0.92	0.36	0.16	0.4	0.6	0.64	0.56	0.56	0.84	0.72	0.28	0.24	0.44	0.76	62.73681312	-22.57750372	50.92696915	9.400537866	11.10373459	8.356113077	54.31263025	9.492271504	22.35319158	14.972037	4.437146216	7.221456025	53.94307771	7.160502743	22.40639016	16.265744	8.269278033	6.920121946	0.355579567	0.188332849	0.126473222
