Generation	ID	Fitness	Status	Order	Int_Order	Survival_Time	Response_Time	Capture_Time	Luminance_Difference	Contrast_Difference	Colour_Difference	GabRat_Edge_Disruption	BgLocal_Luminance	BgLocal_Contrast	BgLocal_A	BgLocal_B	Target_Luminance	Target_Contrast	Target_A	Target_B	Target_Contrast2	BgLocal_Contrast2	Contrast2_Difference	Image_ID	X_Coordinate	Y_Coordinate	Rotation	Flip	Crop_X	Crop_Y	Parent1	Parent2	Sex	ptn_dim_xcp	ptn_dim_ycp	ptn_dim_wdt	ptn_dim_asr	ptn_dim_agl	ptn_grd_cvr	ptn_grd_sig	ptn_grd_hgt	ptn_grd_agl	eem_int_lvl	eem_int_rto	eem_sig_lvl	eem_sig_rto	eem_exp_lvl	eem_exp_rto	ptn_bil_ctr	ptn_bil_sft	ptn_bil_frq	col_mac_lmv	col_mac_rgv	col_mac_byv	col_top_lmv	col_top_rgv	col_top_byv	col_bot_lmv	col_bot_rgv	col_bot_byv	col_grd_sig	col_grd_hgt	spk_one_lvl	spk_one_rto	spk_one_sig	spk_one_ycp	spk_two_lvl	spk_two_rto	spk_two_sig	spk_two_ycp	TmeanL	TmeanA	TmeanB	TcontrastL	TcontrastA	TcontrastB	LmeanL	LmeanA	LmeanB	LcontrastL	LcontrastA	LcontrastB	BmeanL	BmeanA	BmeanB	BcontrastL	BcontrastA	BcontrastB	gabRatL	gabRatA	gabRatB
0	Gen0_Mut0_ID8	900	Killed	1	1	900	900	1344	17.2941	16.7038	13.9805	0.294	51.3758	23.2202	-1.7617	25.4877	34.0817	6.5164	-13.6875	32.7835	0.191199383	0.451967658	0.260768275	0.jpg	1040.6697	257.7146	0	none	0	0	-	-	-	0.32	0.72	0.16	0.44	0.32	0.24	0.4	0.36	0.92	0.96	0.68	0.52	0.92	0.28	0.16	0.32	0.32	0.92	0.36	0.8	0.28	0.32	0.24	0.88	0.08	0.92	0.52	0.16	0.8	0.72	0.12	0.24	0.2	0.68	0.92	0.16	0.68	34.08099907	-13.68510775	32.78076978	6.512479227	26.86038454	11.54969004	51.37579131	-1.761651389	25.48765253	23.2201969	8.149477126	10.70694598	50.06120454	-4.555410746	27.09495692	20.83495182	9.156795224	11.07061845	0.294	0.305467307	0.12024782
0	Gen0_Mut0_ID1	1257	Survived	2	2	1257	576	1257	12.1096	6.7608	31.477	0.3175	50.7896	16.0904	-5.2007	25.0933	38.68	22.8512	-31.3444	7.563	0.590775595	0.316805015	0.273970579	11.jpg	1114.5148	740.7802	0	none	0	0	-	-	-	0.2	0.4	0.6	0.96	0.72	0.4	0.56	0.12	0.88	0.68	0.52	0.4	0.88	0.4	0.44	0.52	0.28	0.76	0.04	0.08	0.4	0.56	0.12	0.16	0.24	0.44	0.28	0.6	0.88	0.84	0.04	0.76	0.4	0.16	0.52	0.6	0.04	38.68321516	-31.33960707	7.55546915	22.85263889	12.33371187	4.142590833	50.78955084	-5.200609406	25.09331922	16.09042559	9.288871476	11.28155393	52.61852643	-4.180390179	23.25214751	16.88648459	8.488989511	10.13302489	0.321000131	0.229057419	0.153274996
0	Gen0_Mut0_ID3	565	Killed	3	3	565	565	966	32.3043	13.9222	10.1607	0.1245	51.1155	18.3644	-2.1903	22.6171	18.8112	4.4422	-12.2929	21.5316	0.236146551	0.359272628	0.123126077	16.jpg	873.3636	387.8081	0	none	0	0	-	-	-	0.6	0.56	0.32	0.2	0.6	0.72	0.8	0.8	0.64	0.72	0.6	0.24	0.96	0.48	0.36	0.08	0.56	0.96	0.2	0.4	0.84	0.2	0.36	0.28	0.6	0.28	0.8	0.8	0.96	0.56	0.68	0.36	0.12	0.88	0.16	0.36	0.52	18.81126099	-12.29480408	21.53005735	4.443155213	2.722707502	6.719189713	51.11554226	-2.190388989	22.61706447	18.36439319	6.942535173	8.856110614	53.44339655	-4.640440065	25.474114	18.6742255	8.531737101	10.27473355	0.139353611	0.178567399	0.267255296
0	Gen0_Mut0_ID10	4812	Survived	4	4	4812	4161	4812	10.6513	6.9483	24.6142	0.315	51.5083	20.7266	-0.4653	24.3232	62.1596	13.7783	-9.6654	47.1534	0.221660049	0.402393401	0.180733351	2.jpg	486.8389	194.3832	0	none	0	0	-	-	-	0.72	0.64	0.4	0.04	0.24	0.32	0.08	0.56	0.44	0.4	0.12	0.96	0.52	0.16	0.2	0.24	0.64	0.16	0.48	0.6	0.64	0.68	0.32	0.76	0.76	0.96	0.4	0.44	0.84	0.6	0.48	0.56	0.36	0.24	0.6	0.52	0.96	62.16477268	-9.680244953	47.15329352	13.77623195	14.32086881	4.075310386	51.50832559	-0.465315766	24.32326629	20.72656574	7.27572379	8.685556358	50.7542045	-2.299773865	26.43791151	19.5849826	9.432154496	9.675005834	0.324525939	0.193512485	0.154638556
0	Gen0_Mut0_ID11	882	Killed	5	5	882	882	1396	20.9192	9.2622	18.4214	0.2519	42.525	16.5949	-8.2604	29.4862	63.4442	7.3327	10.0261	27.2609	0.115577153	0.390238683	0.27466153	13.jpg	333.7539	731.7791	0	horizontal	0	0	-	-	-	0.68	0.88	0.64	0.76	0.96	0.52	0.36	0.68	0.84	0.2	0.16	0.88	0.48	0.04	0.4	0.28	0.88	0.8	0.6	0.96	0.36	0.72	0.16	0.6	0.44	0.4	0.44	0.04	0.6	0.28	0.72	0.08	0.24	0.44	0.28	0.2	0.56	63.43904578	10.03808967	27.26060291	7.327848428	42.57412969	8.528056	42.5249915	-8.260427076	29.48618307	16.59485098	9.42505399	9.819812924	42.85998752	-9.260996941	30.31327159	16.44445859	9.015667312	10.17193052	0.257440307	0.367298471	0.32221991
0	Gen0_Mut0_ID20	6279	Survived	6	6	6279	6279	6806	27.7883	8.7608	19.4583	0.165	45.331	16.9372	-4.7329	31.6092	73.1193	25.698	-14.5787	48.3927	0.351453036	0.373633937	0.022180901	22.jpg	55.9119	526.5564	0	horizontal	0	0	-	-	-	0.08	0.28	0.76	0.52	0.36	0.64	0.04	0.6	0.6	0.56	0.64	0.36	0.24	0.64	0.84	0.84	0.92	0.12	0.84	0.32	0.88	0.28	0.08	0.8	0.16	0.68	0.16	0.72	0.36	0.04	0.8	0.44	0.48	0.04	0.04	0.64	0.92	73.1145946	-14.58226871	48.38968262	25.70372062	10.51812067	17.38984763	45.33094322	-4.732888137	31.60915213	16.93718674	7.515588448	10.02216161	46.08643827	-7.680769839	34.20679094	15.47750683	8.674529915	10.17697044	0.185910005	0.164354879	0.16291686
0	Gen0_Mut0_ID18	1456	Survived	7	7	1456	783	1456	29.7107	3.9776	27.7203	0.1907	45.9837	16.4448	-4.4355	28.1253	75.6944	12.4672	23.1149	25.061	0.16470439	0.357622375	0.192917985	9.jpg	388.5651	244.5063	0	none	0	0	-	-	-	0.44	0.04	0.8	0.6	0.64	0.36	0.68	0.64	0.56	0.32	0.84	0.8	0.28	0.96	0.28	0.88	0.68	0.04	0.72	0.88	0.44	0.76	0.84	0.4	0.92	0.56	0.88	0.88	0.64	0.4	0.36	0.12	0.88	0.96	0.64	0.08	0.36	75.69422734	23.1148414	25.07337266	12.46321136	14.08080605	8.031908728	45.98366568	-4.435507495	28.12526217	16.44482074	10.08068591	9.575177164	49.72956943	-1.725709345	26.39992558	17.97263675	7.662645804	8.948819113	0.204398882	0.1767309	0.353866854
0	Gen0_Mut0_ID22	809	Killed	8	8	809	809	1315	20.0497	1.0869	43.9914	0.2849	54.7185	15.6711	-7.3766	29.2528	74.7682	14.5842	-50.3157	38.8172	0.195058862	0.286394912	0.09133605	12.jpg	343.0775	220.9007	0	horizontal	0	0	-	-	-	0.28	0.52	0.56	0.88	0.56	0.92	0.24	0.04	0.12	0.92	0.28	0.04	0.76	0.44	0.64	0.72	0.48	0.32	0.8	0.04	0.68	0.8	0.04	0.2	0.32	0.2	0.2	0.76	0.52	0.8	0.2	0.04	0.72	0.48	0.76	0.32	0.24	74.7739181	-50.32111371	38.80574074	14.58976567	9.271829472	10.66589244	54.71851682	-7.376524252	29.25281194	15.6710938	6.768150553	9.95078599	51.81758138	-9.467889414	29.8137374	17.70540754	8.678136393	11.51844745	0.310103893	0.107475014	0.268552142
0	Gen0_Mut0_ID2	969	Killed	9	9	969	969	1507	18.0619	11.5409	35.6742	0.2993	44.8614	17.3345	-7.1466	27.1384	62.9233	5.7936	21.0276	49.0213	0.092074001	0.386401227	0.294327226	3.jpg	207.149	87.9177	0	horizontal	0	0	-	-	-	0.88	0.08	0.84	0.48	0.2	0.96	0.84	0.28	0.52	0.44	0.2	0.72	0.36	0.72	0.8	0.8	0.08	0.88	0.64	0.68	0.76	0.4	0.52	0.04	0.88	0.72	0.32	0.68	0.04	0.16	0.4	0.48	0.32	0.4	0.08	0.4	0.8	62.92906949	21.0068548	49.03516007	5.792543376	2.214349562	7.339973606	44.86137118	-7.146631657	27.13838877	17.33449784	10.02126657	10.07207312	50.87081285	-6.363076833	27.07778699	19.86897129	9.988709393	10.20546999	0.326333242	0.09671685	0.206933559
0	Gen0_Mut0_ID5	1958	Survived	10	10	1958	1170	1958	6.7041	11.564	19.4681	0.3014	40.7399	16.0381	-9.1084	30.428	47.444	27.6021	9.4522	36.3025	0.581782733	0.393670578	0.188112155	23.jpg	1122.6871	446.5478	0	horizontal	0	0	-	-	-	0.76	0.2	0.68	0.12	0.76	0.6	0.96	0.44	0.08	0.88	0.32	0.84	0.8	0.08	0.76	0.4	0.72	0.68	0.24	0.56	0.56	0.64	0.68	0.72	0.64	0.88	0.84	0.2	0.56	0.88	0.6	0.6	0.08	0.52	0.84	0.12	0.84	47.44541724	9.437811382	36.31514913	27.60161429	9.242687464	7.762104582	40.73985731	-9.108365236	30.42798785	16.03809102	9.477280446	10.11196293	42.60192902	-7.34169052	28.4039582	16.83472727	8.74333752	10.32562176	0.314242661	0.175856752	0.257255486
